order_month,avg_review,avg_delay,order_count
2016-10,3.5700934579439254,-36.973977695167285,321
2017-01,4.070263488080301,-27.505347593582886,797
2017-02,4.017454954954955,-19.440339188370686,1776
2017-03,4.0724962630792225,-12.371361132966168,2676
2017-04,4.043859649122807,-13.059668989547038,2394
2017-05,4.142587091547394,-13.576414297776527,3703
2017-06,4.147692307692307,-12.689369828134947,3250
2017-07,4.1711309523809526,-12.493817619783616,4032
2017-08,4.236120709513937,-13.097218920846208,4341
2017-09,4.188683656768763,-11.39261583011583,4277
2017-10,4.123648940769563,-12.001564595440321,4626
2017-11,3.910937085213698,-8.18040883523117,7534
2017-12,4.02021993614757,-13.060142154182614,5638
2018-01,4.040717736369911,-12.975896781511414,7245
2018-02,3.82909144717372,-8.328731796116505,6758
2018-03,3.7524697370251845,-6.509304322931578,7187
2018-04,4.161879895561357,-12.914387106313766,6894
2018-05,4.193779205607477,-12.207280832095096,6848
2018-06,4.278021799251667,-19.237907206317868,6147
2018-07,4.264316477907162,-11.467177064668514,6269
2018-08,4.256358871589333,-8.170246367656349,6487
